"","cons","edo","mun","loc","s7c7gp01","s7c7gp02","s7c7gp03a","s7c7gp03b","s7c7gp03c","s7c7gp03d","s7c7gp03e","s7c7gp04a","s7c7gp04b","s7c7gp04c","s7c7gp04d","s7c7gp04e","s7c7gp04_ca","s7c7gp04_cb","s7c7gp04_cc","s7c7gp04_cd","s7c7gp04_ce","s7c7gp05a","s7c7gp05b","s7c7gp05c","s7c7gp05d","s7c7gp05e","s7c7gp06a","s7c7gp06b","s7c7gp06c","s7c7gp06d","s7c7gp06e","s7c7gp07","s7c7gp08","s7c7gp09","s7c7gp09_c","s7c7gp10","s7c7gp11","s7c7gp12","s7c7gp12_c","s7c7gp13","s7c7hp01","s7c7hp02","s7c7hp03","s7c7hp06","s7c7hp07","s7c7hp08","s7c7hp09_lc","s7c7hp10_mc","s7c7hp11_edo"
"3082",2286,7,23,125,3,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,3,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN
"3083",2001,14,15,22,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NaN,NA,NA,NA,NaN,NA,4,NaN,NA,1,88888,1,NaN,NaN,NaN
"3084",768,21,16,3,4,1,1,NA,NA,NA,NA,15,NA,NA,NA,NA,2,NaN,NaN,NaN,NaN,7,NA,NA,NA,NA,12,NA,NA,NA,NA,2,NA,NA,NaN,NA,NA,NA,NaN,NA,4,NaN,NA,1,500,2,1,16,21
"3085",1956,32,38,113,4,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,4,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN
"3086",1381,27,8,191,1,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,1,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN
"3087",1533,5,30,73,4,1,1,4,NA,NA,NA,30,30,NA,NA,NA,2,2,NaN,NaN,NaN,7,7,NA,NA,NA,3,3,NA,NA,NA,2,NA,NA,NaN,NA,NA,NA,NaN,NA,4,NaN,NA,1,0,NaN,NaN,NaN,NaN
"3088",577,12,1,297,2,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,2,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN
"3089",2440,20,309,13,2,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,2,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN
"3090",1243,27,13,15,3,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,3,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN
"3091",2300,7,23,125,1,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,1,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN
"3092",992,30,159,42,1,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,1,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN
"3093",1874,11,30,109,5,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,5,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN
"3094",508,30,124,42,5,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NaN,NA,NA,NA,NaN,NA,5,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN
